,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,0.13462034695148467,0.0008991640562191606,0.4386557538986206,0.5987319947719574,95.258,100.0,87.85,87.04
1,1,0.0018474732211977243,0.000724493667781353,0.7467798092842102,0.6675319954872131,100.0,100.0,84.81,86.39
2,2,0.0014033761783130466,0.0009216625836491585,0.8080881575584412,0.7176241255760193,100.0,100.0,84.27,85.43
3,3,0.001702177520468831,0.0006863182114250957,0.8556807790756226,0.7776575428009033,100.0,100.0,83.17,84.25
4,4,0.0012368933527171612,0.002192629544734955,0.9173702108383178,0.6976777425765991,100.0,100.0,82.35,84.63
5,5,0.003555651043429971,0.0008381271028704942,0.8150383755683899,0.7994322910308838,100.0,100.0,82.52,84.05
6,6,0.0014177291401848196,0.0006929134653136135,0.927726257610321,0.8256259528160095,100.0,100.0,82.07,83.5
7,7,0.0011498922086507083,0.0004095351483486593,0.9526944855690003,0.7543406319618225,100.0,100.0,81.56,82.73
8,8,0.0006133316836692393,0.0008621173305436969,0.8677764896392822,0.8384059713363647,100.0,100.0,80.75,83.05
9,9,0.0013756192857772112,0.0008481253957748413,0.9570407289505005,0.8609778558731079,100.0,100.0,81.2,82.8
