,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,5.101161266326904,0.0028327645077556372,4.8218890426635745,1.545167355632782,21.61,99.992,23.26,71.53
1,1,5.595455226745606,0.0047353268478810785,5.745458999633789,2.607699684906006,28.958,99.996,30.05,56.17
2,2,5.1813422413635255,0.006113402093797922,5.604826487731934,3.600424934768677,29.13,99.996,28.42,42.76
3,3,4.896007489318848,0.007467794883102179,5.527685464477539,4.588016116333008,27.29,100.0,25.78,31.86
4,4,5.109928327636719,0.008795388494133949,5.570867039489746,5.301059285354614,23.136,100.0,21.72,23.38
5,5,5.431410076446533,0.009395662793517112,5.922697676849365,5.907727717590332,19.004,100.0,17.4,17.38
6,6,5.877712859954834,0.009907877507805824,6.3640382209777835,6.340560124969483,15.908,100.0,14.03,13.79
7,7,6.161860012512207,0.009590852600038051,6.66536478805542,6.774932032775879,14.124,100.0,12.34,11.25
8,8,6.29836838394165,0.009370585830807686,6.832767810058594,6.975141627502442,13.52,100.0,11.72,10.47
9,9,6.348301814117431,0.00900065607458353,6.995304150390625,7.158212319946289,13.236,100.0,10.5,10.29
