,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,2.562979622039795,0.004868042817935347,2.4933536655426027,1.1649531675338745,45.518,99.914,47.66,77.2
1,1,0.004879263794794679,0.003407887008823454,1.1651917497634887,1.246161827659607,99.914,99.93,77.25,76.51
2,2,0.0034122642513364555,0.00411742469906807,1.2456391109466554,1.18319378824234,99.932,99.95,76.49,76.06
3,3,0.004136374467387795,0.003204835993349552,1.1828034957885742,1.2406085771560669,99.952,99.934,76.06,76.15
4,4,0.0032113568839803337,0.002928734255209565,1.2407213069915772,1.290443659210205,99.934,99.938,76.14,76.21
5,5,0.0029358048398420216,0.0027547123541682957,1.2897067934036255,1.284794661140442,99.938,99.94,76.24,75.96
6,6,0.0027657414384000003,0.001644664004985243,1.2848047380447387,1.0853081817626953,99.94,99.964,75.87,76.22
7,7,0.0016627153469529004,0.0028839462349191307,1.0855529027938842,1.3131175689697265,99.96,99.936,76.22,75.54
8,8,0.0029024008844047784,0.004484287751764059,1.3128131498336792,1.1585596923828125,99.936,99.944,75.61,75.48
9,9,0.004509773312360048,0.0026796163603663445,1.1578508449554443,1.312621231842041,99.948,99.942,75.6,75.58
