,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,0.6713378446769714,0.0011007329849526287,1.380811346244812,0.7180118302345276,76.43,100.0,67.53,84.92
1,1,0.07206659705877304,0.0005966549178399146,1.9741361770629884,0.5077063539505005,97.788,100.0,67.62,88.7
2,2,3.5361159020233153,0.0007159307321161031,7.099208721923828,0.5850256937026977,33.664,100.0,28.87,87.35
3,3,4.2111479032897945,0.0008582404230162501,7.6970187789916995,0.9531013572692871,27.41,100.0,24.62,81.51
4,4,0.024059587899446486,0.0004184216553345323,1.9950550540924072,0.668043563079834,99.818,100.0,68.35,86.14
5,5,2.721852275619507,0.0005323502425663173,6.837820442962647,0.3570601862668991,39.66,100.0,30.79,90.03
6,6,0.7926801487922669,0.0006365643140580506,3.1325327213287353,0.5972723765850068,71.084,100.0,45.08,86.66
7,7,1.2347947002792359,0.0002950216399412602,4.4249402465820316,0.38721590898036956,61.286,100.0,42.4,90.48
8,8,1.8702102716827393,0.0007909225058555603,4.7472013664245605,1.1353253450393677,49.934,100.0,37.78,79.36
9,9,0.029183786339759828,0.0006830956575460732,2.4191763820648196,0.8554803105354309,99.716,100.0,63.93,83.14
