,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,6.456865286712646,0.0006954461807198823,7.889400045776367,0.34798852581977846,9.728,100.0,10.17,91.38
1,1,12.15872638244629,0.0002722772740619257,13.692873896789552,0.12352174892425537,3.136,100.0,3.37,96.29
2,2,15.740484031066895,0.0003431183442147449,18.04520676269531,0.10904690907597542,0.958,100.0,0.89,96.55
3,3,14.321681113586425,0.000414326252527535,16.29396610107422,0.057783463332662356,0.414,100.0,0.33,98.29
4,4,17.70860571166992,0.0001745359320519492,18.753422967529296,0.014103123005479574,0.032,100.0,0.06,99.58
5,5,11.669752451782227,0.0002290667357109487,12.582656295776367,0.012247384805977344,0.848,100.0,1.25,99.6
6,6,10.691606384887695,0.00033068820495158434,11.406519006347656,0.006862398370215669,0.126,100.0,0.12,99.82
7,7,11.650552756958009,0.00018465586718404664,12.381181059265137,0.00817593893330195,0.144,100.0,0.2,99.7
8,8,14.706106677856445,0.00028051179256290197,15.559065161132812,0.02662771405801177,0.622,100.0,0.76,99.19
9,9,21.70065651245117,0.00035458062743302433,22.902081893920897,0.06102095259930938,0.028,100.0,0.01,97.89
