,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,0.39458360865592956,0.0011453922095522285,0.9199694226264954,0.6942181315422058,85.254,100.0,76.3,85.7
1,1,0.01755088272243738,0.0008792251186817884,1.4097982154846191,0.8041864588260651,99.93,100.0,74.75,83.96
2,2,0.06418065769433975,0.00044158706741407515,2.179082586288452,0.4677409595489502,98.212,100.0,66.22,89.57
3,3,1.7051816123199464,0.0009169060165435076,4.821843027496338,0.9202482244491578,53.572,100.0,40.72,82.27
4,4,0.011999051243960857,0.0009376435916870833,1.6935599264144898,1.0073690259933472,99.974,100.0,72.07,81.23
5,5,0.01996771919608116,0.0008867800302803517,1.9970117238998413,1.0688266961097717,99.912,100.0,68.33,80.4
6,6,0.06390175509929658,0.0005321491172350943,2.6169336570739747,0.43222392024993894,98.216,100.0,62.41,88.17
7,7,2.0129993379974365,0.0005689761225506663,4.717655465698242,0.40389570100307465,40.53,100.0,28.77,90.4
8,8,2.270155598678589,0.00028639270182233306,4.924567616271973,0.49980468397140504,45.856,100.0,36.81,88.37
9,9,0.8457601259231567,0.000437549272114411,3.6918906734466552,0.3559658990859985,69.446,100.0,46.85,91.16
