,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,0.9108812286376953,0.0012495496061444282,1.695539689064026,0.7260820890426636,70.296,100.0,63.01,84.86
1,1,0.17961884413719179,0.0005002196422033012,2.4373615997314455,0.3954216381072998,92.576,100.0,62.26,90.73
2,2,5.130673767089844,0.0005583511502295733,8.40255980758667,0.4994356213569641,23.488,100.0,22.53,88.7
3,3,4.226801472015381,0.0005743450172059238,7.686394713592529,0.5874934050559998,27.672,100.0,25.3,86.93
4,4,2.1915226288604734,0.0005110818789713084,5.859151581573486,0.43232920408248904,46.156,100.0,35.12,88.69
5,5,1.7329278594970703,0.00026171283550094815,4.7109794986724856,0.22943132090568544,47.222,100.0,32.55,93.66
6,6,2.7425499255371095,0.0004652053099591285,5.110217585754395,0.13555564344227314,38.466,100.0,33.56,95.73
7,7,4.9996130772399905,0.0004962842103838921,6.643105689239502,0.3300054365158081,12.822,100.0,12.43,91.89
8,8,11.264073411560059,0.0004817490067426115,13.420408695983888,0.22559474687576295,7.06,100.0,8.25,93.24
9,9,1.8610213228988648,0.0007239870830252767,3.810987124633789,0.8096428029060364,45.432,100.0,35.56,83.52
