,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,0.20425995226860047,0.0009455767755582929,0.5798461840629577,0.6443141662597657,92.418,100.0,84.2,86.6
1,1,0.0043161525459587576,0.0008490910874120891,0.9809670469284058,0.7586333964347839,100.0,100.0,81.44,84.95
2,2,0.003484277999922633,0.0009269772461056709,1.0955116886138916,0.8248966256141662,100.0,100.0,79.79,84.1
3,3,0.003237698475793004,0.0007273359901644289,1.142499876308441,0.9035231237411498,100.0,100.0,79.22,82.82
4,4,0.002353087087795138,0.0009343969421833754,1.2206868549346923,0.9200308526992798,100.0,100.0,78.04,82.57
5,5,0.0027386103607714178,0.0009475540105998516,1.20893540763855,0.9877318359375,100.0,100.0,78.18,81.47
6,6,0.002660398923829198,0.0009970019602403046,1.2749663080215454,1.0116967586517334,100.0,100.0,77.52,81.0
7,7,0.0026365079359710218,0.0008226629351451993,1.291590750694275,1.0772787427902222,100.0,100.0,77.0,80.07
8,8,0.0021487980882823467,0.0008171470813453198,1.3659665153503417,1.102927698326111,100.0,100.0,76.15,79.66
9,9,0.0020532616916671396,0.0009780273504927754,1.3870995073318482,1.1404073515892028,100.0,100.0,75.6,79.26
