,step,train_loss_start,train_loss_end,test_loss_start,test_loss_end,train_acc_start,train_acc_end,test_acc_start,test_acc_end
0,0,2.880696362991333,0.004634623820781707,2.8079029552459716,1.2678559711456299,41.5,99.92,43.79,75.13
1,1,1.5360766652679443,0.004240784134045243,2.4259388092041014,1.4492580045700074,68.84,99.924,59.59,72.94
2,2,0.44628966795921327,0.003999110298603773,1.8198633075714112,1.5911941569328307,87.788,99.958,67.83,71.05
3,3,0.21721182526111601,0.003996623610407114,1.8333630990982055,1.7458976711273193,93.224,99.942,67.8,68.86
4,4,0.13759437630176544,0.0041839361900836225,1.8569043006896973,1.8054843564987182,95.474,99.948,66.89,67.5
5,5,0.08831104031085968,0.004309650382623076,1.896880265045166,1.87463720703125,97.088,99.944,65.97,66.86
6,6,0.08311983483791352,0.0036885822781920433,1.9452562477111817,2.0016689825057985,97.302,99.964,65.33,65.09
7,7,0.08417019193649292,0.0033319954442977903,2.061352321434021,2.0305530588150025,97.19,99.978,64.16,64.35
8,8,0.07789176868200302,0.0025331818398088217,2.132781340789795,2.153199568939209,97.374,99.996,63.04,63.14
9,9,0.07854005722284317,0.002657960101887584,2.2126829055786135,2.2025078002929686,97.424,99.996,61.81,62.07
